Approved symbol	Approved name	Previous symbols	Synonyms	Chromosome	Accession numbers	RefSeq IDs	Ensembl gene ID	NCBI Gene ID
A1BG	alpha-1-B glycoprotein			19q13.43		NM_130786	ENSG00000121410	1
A1BG-AS1	A1BG antisense RNA 1	"NCRNA00181, A1BGAS, A1BG-AS"	FLJ23569	19q13.43	BC040926	NR_015380	ENSG00000268895	503538
A1CF	APOBEC1 complementation factor		"ACF, ASP, ACF64, ACF65, APOBEC1CF"	10q11.23	AF271790	NM_014576	ENSG00000148584	29974
A2M	alpha-2-macroglobulin		"FWP007, S863-7, CPAMD5"	12p13.31	"BX647329, X68728, M11313"	NM_000014	ENSG00000175899	2
A2M-AS1	A2M antisense RNA 1			12p13.31		NR_026971	ENSG00000245105	144571
A2ML1	alpha-2-macroglobulin like 1	CPAMD9	"FLJ25179, p170"	12p13.31	AK057908	NM_144670	ENSG00000166535	144568
A2ML1-AS1	A2ML1 antisense RNA 1			12p13.31			ENSG00000256661	
A2ML1-AS2	A2ML1 antisense RNA 2			12p13.31			ENSG00000256904	
A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP		12p13.31	M24415	NG_001067	ENSG00000256069	3
A3GALT2	"alpha 1,3-galactosyltransferase 2"	A3GALT2P	"IGBS3S, IGB3S"	1p35.1		NM_001080438	ENSG00000184389	127550
A4GALT	"alpha 1,4-galactosyltransferase (P blood group)"	P1	"A14GALT, Gb3S, P(k)"	22q13.2		NM_017436	ENSG00000128274	53947
A4GNT	"alpha-1,4-N-acetylglucosaminyltransferase"		alpha4GnT	3q22.3	AF141315	NM_016161	ENSG00000118017	51146
AAAS	aladin WD repeat nucleoporin			12q13.13	AJ289841		ENSG00000094914	8086
AACS	acetoacetyl-CoA synthetase		"FLJ12389, SUR-5, ACSF1"	12q24.31	AK022451	NM_023928	ENSG00000081760	65985
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSL		5q35.3		NR_024035	ENSG00000250420	729522
AADAC	arylacetamide deacetylase		"DAC, CES5A1"	3q25.1	L32179	NM_001086	ENSG00000114771	13
AADACL2	arylacetamide deacetylase like 2		MGC72001	3q25.1	BC065724	NM_207365	ENSG00000197953	344752
AADACL2-AS1	AADACL2 antisense RNA 1			3q25.1			ENSG00000242908	101928142
AADACL3	arylacetamide deacetylase like 3		OTTHUMG00000001887	1p36.21		NM_001103170	ENSG00000188984	126767
AADACL4	arylacetamide deacetylase like 4		OTTHUMG00000001889	1p36.21		NM_001013630	ENSG00000204518	343066
AADACP1	arylacetamide deacetylase pseudogene 1			3q25.1			ENSG00000240602	201651
AADAT	aminoadipate aminotransferase		"KATII, KAT2, KYAT2"	4q33	AF097994	NM_016228	ENSG00000109576	51166
AAGAB	alpha and gamma adaptin binding protein		"FLJ11506, p34"	15q23	AL136715	NM_024666	ENSG00000103591	79719
AAK1	AP2 associated kinase 1		"KIAA1048, DKFZp686K16132"	2p13.3	AB028971	NM_014911	ENSG00000115977	22848
AAMDC	adipogenesis associated Mth938 domain containing	C11orf67	"PTD015, FLJ21035, CK067"	11q14.1	BC016854	NM_024684	ENSG00000087884	28971
AAMP	angio associated migratory cell protein			2q35	AB209790	NM_001087	ENSG00000127837	14
AANAT	aralkylamine N-acetyltransferase		SNAT	17q25.1	U40347	NM_001088	ENSG00000129673	15
AAR2	AAR2 splicing factor homolog	C20orf4	bA234K24.2	20q11.23		NM_015511	ENSG00000131043	25980
AARD	alanine and arginine rich domain containing protein	C8orf85	LOC441376	8q24.11	"AB181519, BC140924"	NM_001025357	ENSG00000205002	441376
AARS	alanyl-tRNA synthetase		"CMT2N, AlaRS"	16q22.1	D32050	NM_001605	ENSG00000090861	16
AARS2	"alanyl-tRNA synthetase 2, mitochondrial"	AARSL	"KIAA1270, bA444E17.1"	6p21.1	AB033096	NM_020745	ENSG00000124608	57505
AARSD1	alanyl-tRNA synthetase domain containing 1		MGC2744	17q21.31	BC004172	NM_001261434	ENSG00000266967	80755
AARSP1	alanyl-tRNA synthetase pseudogene 1			4q28.3			ENSG00000249038	
AASDH	aminoadipate-semialdehyde dehydrogenase		"NRPS998, LYS2, ACSF4"	4q12	AF516672	NM_181806	ENSG00000157426	132949
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase		"LYS5, CGI-80, AASD-PPT, ACPS"	11q22.3	AF302110	NM_015423	ENSG00000149313	60496
AASS	aminoadipate-semialdehyde synthase		"LORSDH, LKRSDH"	7q31.32	AF229180	NM_005763	ENSG00000008311	10157
AATBC	apoptosis associated transcript in bladder cancer			21q22.3		NR_026961	ENSG00000215458	284837
AATF	apoptosis antagonizing transcription factor		"DED, CHE-1, CHE1, BFR2"	17q12	AF083208	NM_012138	ENSG00000275700	26574
AATK	apoptosis associated tyrosine kinase		"AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77"	17q25.3	AB014541	NM_004920	ENSG00000181409	9625
AAVS1	adeno-associated virus integration site 1		AAV	19q13	S51329			17
ABALON	apoptotic BCL2L1-antisense long non-coding RNA		INXS	20q11.21	KC505631	NR_131907	ENSG00000281376	103021294
ABAT	4-aminobutyrate aminotransferase		GABAT	16p13.2	L32961	NM_020686	ENSG00000183044	18
ABCA1	ATP binding cassette subfamily A member 1	"ABC1, HDLDT1"	TGD	9q31.1	AJ012376	NM_005502	ENSG00000165029	19
ABCA2	ATP binding cassette subfamily A member 2	ABC2		9q34.3	U18235	NM_001606	ENSG00000107331	20
ABCA3	ATP binding cassette subfamily A member 3	ABC3	"ABC-C, EST111653, LBM180"	16p13.3	U78735	NM_001089	ENSG00000167972	21
ABCA4	ATP binding cassette subfamily A member 4	"STGD1, ABCR, RP19, STGD"	"FFM, ARMD2, CORD3"	1p22.1	U88667	NM_000350	ENSG00000198691	24
ABCA5	ATP binding cassette subfamily A member 5		EST90625	17q24.3	U66672	NM_018672	ENSG00000154265	23461
ABCA6	ATP binding cassette subfamily A member 6		EST155051	17q24.2-q24.3	U66680	NM_080284	ENSG00000154262	23460
ABCA7	ATP binding cassette subfamily A member 7		ABCX	19p13.3	AF328787	NM_019112	ENSG00000064687	10347
ABCA8	ATP binding cassette subfamily A member 8		KIAA0822	17q24.2	AB020629	NM_007168	ENSG00000141338	10351
ABCA9	ATP binding cassette subfamily A member 9		EST640918	17q24.2	AF423307	NM_172386	ENSG00000154258	10350
ABCA9-AS1	ABCA9 antisense RNA 1			17q24.2			ENSG00000231749	
ABCA10	ATP binding cassette subfamily A member 10		EST698739	17q24.3	AY247065	NM_080282	ENSG00000154263	10349
ABCA11P	"ATP binding cassette subfamily A member 11, pseudogene"	ABCA11	"EST1133530, FLJ14297"	4p16.3	AK024359	NR_002451.2	ENSG00000251595	79963
ABCA12	ATP binding cassette subfamily A member 12	ICR2B	"DKFZP434G232, LI2"	2q35	AF418105	NM_173076	ENSG00000144452	26154
ABCA13	ATP binding cassette subfamily A member 13		"FLJ33876, FLJ33951"	7p12.3	AY204751	NM_152701	ENSG00000179869	154664
ABCA17P	"ATP binding cassette subfamily A member 17, pseudogene"			16p13.3	DQ266102	NR_003574	ENSG00000238098	650655
ABCB1	ATP binding cassette subfamily B member 1	"PGY1, MDR1, CLCS"	"P-gp, CD243, GP170, ABC20"	7q21.12	M14758	NM_000927	ENSG00000085563	5243
ABCB4	ATP binding cassette subfamily B member 4	"PGY3, MDR3"	"MDR2, PFIC-3, GBD1"	7q21.12	M23234	NM_000443	ENSG00000005471	5244
ABCB5	ATP binding cassette subfamily B member 5		"EST422562, ABCB5beta, ABCB5alpha"	7p21.1	U66692	NM_178559	ENSG00000004846	340273
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)		"EST45597, umat, MTABC3"	2q35	AF070598	NM_005689	ENSG00000115657	10058
ABCB7	ATP binding cassette subfamily B member 7	ABC7	"EST140535, Atm1p, ASAT"	Xq13.3	AF038950	NM_004299	ENSG00000131269	22
ABCB8	ATP binding cassette subfamily B member 8		"EST328128, M-ABC1, MABC1"	7q36.1	AF047690	NM_007188	ENSG00000197150	11194
ABCB9	ATP binding cassette subfamily B member 9		EST122234	12q24.31	U66676	NM_019624	ENSG00000150967	23457
ABCB10	ATP binding cassette subfamily B member 10		"EST20237, M-ABC2, MTABC2"	1q42.13	U18237	NM_012089	ENSG00000135776	23456
ABCB10P1	ABCB10 pseudogene 1	"ABCB10P, ABCB10P2"	"M-ABC2, MABC2"	15q11.2	AF218417	NG_005041	ENSG00000274099	56476
ABCB10P3	ABCB10 pseudogene 3			15q13.1		NG_022122	ENSG00000261524	728248
ABCB10P4	ABCB10 pseudogene 4			15q13.1		NG_022102	ENSG00000260053	100132289
ABCB11	ATP binding cassette subfamily B member 11	"BSEP, PFIC2"	"ABC16, SPGP, PFIC-2, PGY4"	2q31.1	AF091582	NM_003742	ENSG00000073734	8647
ABCC1	ATP binding cassette subfamily C member 1	"MRP, MRP1"	GS-X	16p13.11	L05628	NM_004996	ENSG00000103222	4363
ABCC2	ATP binding cassette subfamily C member 2	CMOAT	"DJS, MRP2, cMRP"	10q24.2	U63970	NM_000392	ENSG00000023839	1244
ABCC3	ATP binding cassette subfamily C member 3		"MRP3, cMOAT2, EST90757, MLP2, MOAT-D"	17q21.33	Y17151	NM_020038	ENSG00000108846	8714
ABCC4	ATP binding cassette subfamily C member 4		"MRP4, EST170205, MOAT-B, MOATB"	13q32.1	U66682	NM_005845	ENSG00000125257	10257
ABCC5	ATP binding cassette subfamily C member 5		"MRP5, SMRP, EST277145, MOAT-C"	3q27.1	AF104942	NM_005688	ENSG00000114770	10057
ABCC5-AS1	ABCC5 antisense RNA 1			3q27.1			ENSG00000223882	
ABCC6	ATP binding cassette subfamily C member 6	"ARA, PXE"	"MRP6, EST349056, MLP1, URG7"	16p13.11	AF076622		ENSG00000091262	368
ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1			16p12.3	BC075833	NR_003569	ENSG00000256340	653190
ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2			16p13.11		NR_023387	ENSG00000255277	730013
ABCC8	ATP binding cassette subfamily C member 8	"SUR, HRINS"	"HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2"	11p15.1	L78207	NM_000352	ENSG00000006071	6833
ABCC9	ATP binding cassette subfamily C member 9		"SUR2, CMD1O"	12p12.1	AF061323	NM_005691	ENSG00000069431	10060
ABCC10	ATP binding cassette subfamily C member 10		"EST182763, MRP7, SIMRP7"	6p21.1	U66684	NM_033450	ENSG00000124574	89845
ABCC11	ATP binding cassette subfamily C member 11		MRP8	16q12.1	AF367202	NM_032583	ENSG00000121270	85320
ABCC12	ATP binding cassette subfamily C member 12		MRP9	16q12.1	AY040220	NM_033226	ENSG00000140798	94160
ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)		"PRED6, C21orf73, ABCC13P"	21q11.2	AF418600		ENSG00000243064	150000
ABCD1	ATP binding cassette subfamily D member 1	ALD	"AMN, ALDP, adrenoleukodystrophy"	Xq28	Z21876	NM_000033	ENSG00000101986	215
ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1			2p11.2	U90290			23785
ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2		bA453N3.6	10p11.1	U90288		ENSG00000215151	26983
ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3			16p11.2	U90289		ENSG00000261233	26982
ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4			22q11.1	U90291		ENSG00000225293	26957
ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5			2p11.1			ENSG00000214330	642762
ABCD2	ATP binding cassette subfamily D member 2	ALDL1	"ALDR, ALDRP"	12q12	U28150	NM_005164	ENSG00000173208	225
ABCD3	ATP binding cassette subfamily D member 3	PXMP1	"PMP70, ZWS2"	1p21.3	M81182	NM_002858	ENSG00000117528	5825
ABCD4	ATP binding cassette subfamily D member 4	PXMP1L	"PMP69, P70R, EST352188"	14q24.3	AF009746	NM_005050	ENSG00000119688	5826
ABCE1	ATP binding cassette subfamily E member 1	"RNASEL1, RNASELI, RNS4I"	"RLI, OABP, RLI1"	4q31.21	X74987	NM_002940	ENSG00000164163	6059
ABCF1	ATP binding cassette subfamily F member 1	ABC50	EST123147	6p21.33	AF027302		ENSG00000204574	23
ABCF1-DT	ABCF1 divergent transcript			6p21.33				107986587
ABCF2	ATP binding cassette subfamily F member 2		"EST133090, ABC28, M-ABC1, HUSSY-18"	7q36.1	AJ005016	NM_005692	ENSG00000033050	10061
ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1			3p11.1			ENSG00000242159	344653
ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2			7q11.22			ENSG00000228769	100422059
ABCF3	ATP binding cassette subfamily F member 3		EST201864	3q27.1	U66685	NM_018358	ENSG00000161204	55324
ABCG1	ATP binding cassette subfamily G member 1		ABC8	21q22.3	U34919	NM_207174	ENSG00000160179	9619
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)		"EST157481, MXR, BCRP, ABCP, CD338"	4q22.1	AF103796	NM_004827	ENSG00000118777	9429
ABCG4	ATP binding cassette subfamily G member 4		WHITE2	11q23.3	AJ300465	NM_022169	ENSG00000172350	64137
ABCG5	ATP binding cassette subfamily G member 5		STSL	2p21	T93792	NM_022436	ENSG00000138075	64240
ABCG8	ATP binding cassette subfamily G member 8		GBD4	2p21	AF320294	NM_022437	ENSG00000143921	64241
ABHD1	abhydrolase domain containing 1		"LABH1, FLJ36128"	2p23.3	AK093447	NM_032604	ENSG00000143994	84696
ABHD2	abhydrolase domain containing 2		LABH2	15q26.1	X12433		ENSG00000140526	11057
ABHD3	abhydrolase domain containing 3		LABH3	18q11.2	AK024880		ENSG00000158201	171586
ABHD4	abhydrolase domain containing 4		FLJ12816	14q11.2	AK022878		ENSG00000100439	63874
ABHD5	abhydrolase domain containing 5		"CGI-58, NCIE2"	3p21.33	AF007132	NM_016006	ENSG00000011198	51099
ABHD6	abhydrolase domain containing 6			3p14.3	AF225418	NM_020676	ENSG00000163686	57406
ABHD8	abhydrolase domain containing 8		"FLJ11743, MGC14280, MGC2512"	19p13.11	AK021805	NM_024527	ENSG00000127220	79575
ABHD10	abhydrolase domain containing 10		FLJ11342	3q13.2	AL713726	NM_018394	ENSG00000144827	55347
ABHD11	abhydrolase domain containing 11	WBSCR21	PP1226	7q11.23	AF217971		ENSG00000106077	83451
ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	"WBSCR26, LINC00035"	NCRNA00035	7q11.23	BU595969	NR_026690	ENSG00000225969	171022
ABHD12	abhydrolase domain containing 12	C20orf22	"DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A"	20p11.21	AL117442	NM_015600	ENSG00000100997	26090
ABHD12B	abhydrolase domain containing 12B	C14orf29	BEM46L3	14q22.1	BG698443		ENSG00000131969	145447
ABHD13	abhydrolase domain containing 13	C13orf6	"bA153I24.2, FLJ14906, BEM46L1"	13q33.3	AK027812	NM_032859	ENSG00000139826	84945
